id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
52,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,77.00006000309214,77.00006000309214,70.96932819028798,77.00006000309214
57,COMP_M,SimpleCase,ServiceA,M.A,0,2,0,12,Sensor,2.2988505747126435,77.00109722222226,79.2999477969349,66.0,77.00109722222226
64,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,78.00021666666663,83.06350780590714,75.0,78.00021666666663
54,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,78.28710962064251,78.28710962064251,73.03199873386298,78.28710962064251
55,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,80.28719295397585,80.28719295397585,74.93898993827162,80.28719295397585
65,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,81.00039242424239,85.96933652362128,76.0,81.00039242424239
58,COMP_M,SimpleCase,ServiceA,M.A,0,4,0,14,Sensor,2.2857142857142856,82.00116330409361,84.2868775898079,68.0,82.00116330409361
56,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,82.28727628730918,82.28727628730918,77.00088611111113,82.28727628730918
71,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,83.00010833333324,91.98887237827707,82.0,83.00010833333324
70,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,83.00010952380944,91.93865700984296,81.0,83.00010952380944
66,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,83.00056052631577,88.03200706719628,77.0,83.00056052631577
59,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,83.28728083276373,83.28728083276373,80.93856534317636,83.28728083276373
61,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,84.28728537821827,84.28728537821827,81.9887890449438,84.28728537821827
67,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,85.00072666666665,89.93899827160492,78.0,85.00072666666665
60,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,85.28728992367282,85.28728992367282,83.00002687074829,85.28728992367282
